<<<<<<< HEAD
,PK,Not Null,Not Null,Not Null,Not Null,Not Null,Not Null,Not Null,Not Null,,,Not Null,,,Not Null,Not Null,,Not Null,
,product_id,product_name,product_desc,product_img,price,origin,moq,unit,category,create_date,update_date,remote_ip,country,hit_count,lstm_predict_proba,lstm_predict,judge,customer_id,product_delete
1,FO00001-20240409,Fresh Carrots,"Product Name: Fresh Carrots Size: 20cm Material: Carrot Color: Red, orange Is product customizable? Yes Price: Curency: USD Price Range: 170-500 Unit: Per metric ton Production time: Quantity: 24001kg Estimated lead time (days): 10days Supply capability: quantity: 2000Metric Ton time: 30days Product classification: Carrot",,160,Philippines,2000,Ton,FOOD_BEVERAGE,,,103.100.136.0,,,0.5,1,,juujee07,
2,FO00002-20240409,Wholesale White / Pure Garlic / New Crop Fresh Garlic / Normal White Garlic /Premium Fresh Garlic,"To get the best and sweetest roasted garlic possible, start with a porcelain type that has a strong, robust flavour like German White. This midsummer-cropping garlic is perfect for using fresh in recipes, but it is also outstanding when roasted and spread on warm bread or tossed into gravies and sauces. Storable until the next spring. Yield: 5-7 medium cloves per bulb.",,800,Canada,100,Ton,FOOD_BEVERAGE,,,157.185.144.90,,,0.5,1,,edward9011,
3,FO00003-20240409,Starbucks-K-Cup-Coffee-PodsMedium Roast Coffee-Pike Place Roast for-Keurig-Brewers,"All our products brand new, factory sealed in box, original, 100% unbox, it comes with full accessories with 1 year international warranty.",,10,United States,50,Unit,FOOD_BEVERAGE,,,170.171.1.255,,,0.5,1,,specialtycare,
4,FO00004-20240409,Quest-Nutrition-Chocolate Chip Protein Cookie; Keto Friendly; High Protein; Low Carb; 12 Count,"All our products brand new, factory sealed in box, original, 100% unbox, it comes with full accessories with 1 year international warranty.",,5,United States,50,Unit,FOOD_BEVERAGE,,,170.171.1.255,,,0.5,1,,doyeonkim,
5,FO00005-20240409,Korean Ginseng Candy (Packing Unit :100g),Sweet and refreshing Red Ginseng candy is an absolutely ideal sweet for family members or whilst driving. Red ginseng candy will provide the most refreshing moment in your day.,,13.68,Korea,150,carton,FOOD_BEVERAGE,,,218.239.246.20,,,0.5,1,,heejinkim,
6,FO00006-20240409,Samyang-Buldak-Carbo Korean Spicy Hot Chicken Stir-Fried Noodles 4.58oz (Pack of 5),"All our products brand new, factory sealed in box, original, 100% unbox, it comes with full accessories with 1 year international warranty.",,2,United States,100,Unit,FOOD_BEVERAGE,,,170.171.1.255,,,0.5,1,,doyeonkim,
=======
,PK,Not Null,Not Null,Not Null,Not Null,Not Null,Not Null,Not Null,Not Null,,,Not Null,,,Not Null,Not Null,,Not Null,
